customer_id,age,division,district,occupation,sector,business_vintage_years,has_fd_dps,income,type,loan_amount,term,status,credit_line_type,risk_group,risk_score,txn_amount,txn_count
1,59,Rangpur,District5,Teacher,Wholesale,20,0,74717.71,Withdrawal,379201.41,12,Approved,Lease,C,0.58,26417.63,10
2,49,Rangpur,District4,Business Owner,Retail,27,0,79275.1,Deposit,327433.97,36,Closed,Cash Credit,B,0.46,37938.52,9
3,35,Rangpur,District3,Business Owner,Wholesale,21,0,77613.78,Deposit,362949.55,48,Defaulted,Invoice Finance,C,0.52,34967.2,13
4,63,Barisal,District5,Farmer,Pharma,6,0,52179.22,Withdrawal,158997.01,36,Approved,Overdraft,C,0.55,14164.29,10
5,28,Sylhet,District4,Farmer,Manufacturing,14,1,71775.14,Payment,295493.18,36,Closed,Invoice Finance,C,0.56,19965.7,13
6,41,Mymensingh,District1,Business Owner,Retail,21,1,73770.8,Withdrawal,421897.99,24,Approved,Lease,C,0.55,30875.44,21
7,59,Mymensingh,District4,Service Holder,Pharma,16,1,59790.46,Withdrawal,338787.34,36,Approved,Overdraft,C,0.6,24357.42,7
8,39,Mymensingh,District3,Service Holder,Retail,17,0,50169.5,Payment,276273.77,12,Closed,Cash Credit,C,0.6,29159.62,10
9,43,Dhaka,District2,Business Owner,Transport,6,1,65518.73,Deposit,319774.01,60,Approved,Cash Credit,C,0.51,32323.12,12
10,31,Rajshahi,District2,Service Holder,Wholesale,29,0,54954.41,Withdrawal,369375.23,48,Approved,Overdraft,C,0.68,23228.47,12
11,31,Sylhet,District2,Business Owner,Wholesale,18,0,47265.71,Payment,212029.91,48,Closed,Invoice Finance,C,0.65,1000.0,11
12,44,Chattogram,District1,Farmer,Pharma,27,0,92632.1,Withdrawal,720965.33,48,Closed,Invoice Finance,C,0.6,47241.95,21
13,56,Barisal,District3,Freelancer,Transport,9,1,77362.69,Payment,100943.22,60,Approved,Cash Credit,B,0.37,28388.24,14
14,60,Chattogram,District5,Teacher,Manufacturing,26,1,84222.45,Withdrawal,531748.72,36,Approved,Lease,C,0.63,20195.95,18
15,44,Chattogram,District2,Service Holder,Transport,12,1,111073.62,Withdrawal,663858.39,24,Approved,Cash Credit,C,0.57,35163.09,20
16,23,Chattogram,District3,Service Holder,Transport,1,1,41276.25,Deposit,150694.09,12,Approved,Lease,C,0.64,1000.0,5
17,42,Barisal,District4,Farmer,IT,21,0,85634.17,Withdrawal,367331.02,48,Approved,Lease,B,0.42,54211.35,21
18,22,Mymensingh,District1,Service Holder,Manufacturing,26,0,74328.01,Deposit,440734.02,12,Approved,Overdraft,C,0.62,30108.78,15
19,44,Chattogram,District3,Business Owner,Manufacturing,19,1,95775.71,Withdrawal,654327.25,36,Approved,Overdraft,B,0.44,66229.83,15
20,64,Barisal,District3,Business Owner,Transport,27,1,93634.31,Payment,140552.0,24,Approved,Cash Credit,A,0.13,78662.45,17
21,50,Barisal,District5,Freelancer,Retail,10,1,46916.32,Deposit,293531.59,48,Closed,Overdraft,C,0.75,1000.0,8
22,58,Rajshahi,District3,Freelancer,IT,4,0,55431.91,Deposit,226422.59,36,Closed,Cash Credit,C,0.62,10811.83,8
23,22,Barisal,District5,Freelancer,Retail,5,1,75033.34,Payment,544035.2,24,Approved,Overdraft,C,0.69,21150.38,18
24,41,Mymensingh,District1,Business Owner,Transport,2,0,19120.22,Deposit,25266.41,48,Approved,Invoice Finance,B,0.5,6627.86,2
25,53,Chattogram,District1,Freelancer,Retail,0,1,94160.72,Payment,931305.82,36,Approved,Invoice Finance,D,0.86,13636.06,16
26,32,Barisal,District4,Freelancer,Manufacturing,2,0,56668.11,Withdrawal,182908.8,12,Approved,Invoice Finance,B,0.49,31755.7,7
27,42,Dhaka,District5,Business Owner,Manufacturing,2,1,77079.82,Deposit,605841.4,60,Closed,Overdraft,C,0.6,47011.45,16
28,64,Barisal,District5,Farmer,Retail,21,0,53517.06,Payment,260180.19,48,Approved,Lease,C,0.7,1334.82,10
29,45,Khulna,District2,Service Holder,Manufacturing,3,1,78359.26,Withdrawal,263496.06,24,Approved,Overdraft,B,0.44,38103.76,14
30,47,Khulna,District2,Teacher,Wholesale,6,0,72342.57,Withdrawal,400070.91,24,Approved,Invoice Finance,C,0.69,6510.99,20
31,62,Khulna,District4,Business Owner,Manufacturing,28,0,81803.52,Deposit,577389.77,60,Approved,Cash Credit,C,0.62,32987.9,14
32,48,Barisal,District1,Business Owner,Transport,14,0,63859.43,Withdrawal,120987.46,60,Approved,Lease,C,0.53,10164.19,8
33,36,Mymensingh,District2,Teacher,Pharma,10,1,61596.18,Payment,394411.29,36,Closed,Invoice Finance,C,0.6,32639.49,12
34,35,Chattogram,District3,Teacher,Retail,17,0,63756.9,Deposit,317231.57,60,Approved,Overdraft,C,0.53,34895.96,10
35,64,Sylhet,District1,Freelancer,IT,11,0,53319.56,Deposit,328133.27,48,Approved,Cash Credit,C,0.68,18787.4,8
36,23,Sylhet,District3,Teacher,Retail,3,1,76579.93,Deposit,384580.63,60,Closed,Overdraft,B,0.47,49188.34,15
37,57,Sylhet,District5,Service Holder,Manufacturing,23,1,75251.86,Payment,290190.91,48,Closed,Cash Credit,C,0.53,19425.98,18
38,27,Mymensingh,District1,Service Holder,Manufacturing,10,0,68469.76,Deposit,189918.24,12,Approved,Invoice Finance,B,0.45,29870.91,21
39,41,Rajshahi,District4,Service Holder,Pharma,5,0,42415.22,Withdrawal,269136.88,60,Approved,Cash Credit,C,0.69,18143.99,9
40,29,Rangpur,District5,Service Holder,Pharma,25,0,71064.71,Withdrawal,450162.53,12,Closed,Cash Credit,C,0.65,21973.22,18
41,59,Dhaka,District5,Service Holder,IT,18,1,92240.67,Withdrawal,583380.22,24,Approved,Cash Credit,C,0.53,43337.34,18
42,38,Dhaka,District3,Freelancer,Transport,25,1,79443.05,Withdrawal,465154.36,60,Approved,Invoice Finance,C,0.54,39394.59,19
43,24,Khulna,District5,Business Owner,Wholesale,27,1,101758.05,Payment,701051.68,24,Approved,Cash Credit,C,0.64,21481.07,28
44,45,Khulna,District2,Teacher,Transport,17,0,75294.91,Payment,588214.27,12,Approved,Overdraft,C,0.68,30088.91,24
45,34,Barisal,District1,Business Owner,IT,14,1,74935.74,Payment,93457.18,24,Approved,Lease,B,0.39,23871.82,9
46,29,Sylhet,District2,Teacher,Retail,2,0,69426.75,Payment,21966.98,12,Closed,Overdraft,B,0.38,25369.01,15
47,46,Barisal,District3,Freelancer,Manufacturing,16,0,67166.77,Deposit,566611.8,36,Closed,Cash Credit,C,0.68,43516.57,14
48,22,Rangpur,District3,Freelancer,Transport,0,1,81534.15,Deposit,188988.57,12,Approved,Cash Credit,C,0.53,10351.3,17
49,40,Sylhet,District1,Farmer,Manufacturing,1,0,77901.97,Withdrawal,220268.87,36,Approved,Invoice Finance,B,0.38,45119.22,22
50,48,Khulna,District5,Farmer,Manufacturing,29,0,75380.48,Deposit,333541.39,24,Approved,Overdraft,C,0.57,18631.6,18
51,27,Chattogram,District4,Freelancer,Transport,18,1,92674.32,Payment,156810.22,12,Closed,Cash Credit,B,0.42,23064.05,14
52,64,Rajshahi,District3,Freelancer,Transport,28,0,68436.48,Deposit,289953.5,36,Closed,Invoice Finance,C,0.58,17239.24,6
53,28,Barisal,District1,Teacher,Pharma,8,0,42507.78,Payment,131935.19,12,Approved,Invoice Finance,C,0.56,13425.0,2
54,55,Rajshahi,District4,Freelancer,IT,7,1,69068.11,Payment,313107.72,48,Closed,Invoice Finance,C,0.57,24145.9,13
55,34,Rajshahi,District5,Business Owner,IT,11,1,55561.0,Payment,308901.53,48,Approved,Invoice Finance,C,0.67,10813.59,13
